0,1,2,3,4
FV,66.99164595603943,147.3282454967499,378.50424313545227,644.5644773960114
PR,85.64147610664368,179.52257428169253,276.66057991981506,493.0591372966766
L,106.68382143974304,226.86823577880858,401.98128800392146,590.8153665542602
LX,88.29805002212524,199.9035882949829,382.87356901168823,669.7630644798279
FVPR,47.110653448104856,134.2319124698639,291.63444685935974,568.2932905197143
FVL,60.14655244350433,146.70051407814026,339.62837195396423,731.1868281364441
FVLX,71.48078095912933,149.18621706962585,375.69595217704773,685.5117430686951
PRL,98.20502800941468,209.11089997291566,376.614382314682,560.2561667442321
PRLX,128.97504687309265,297.21937346458435,516.0221131324768,902.6965241909027
LPR,128.4190369606018,262.21179089546206,404.7450039386749,608.8053776741028
LLX,85.68634171485901,177.73346734046936,402.1850233078003,644.2281795024871
FVPRL,71.04924619197845,145.78232431411743,366.9127035140991,823.6058942079544
FVPRLX,72.05181837081909,167.43801641464233,428.46486830711365,716.6690759658813
FVLPR,66.78714859485626,158.83703672885895,378.62493205070496,624.3479093313217
FVLLX,69.79159414768219,147.13921701908112,309.23379278182983,622.3826837539673
PRLLX,90.64218282699585,187.08512616157532,310.7939006090164,535.2634479999542
LPRLX,116.96453726291656,237.25576150417328,487.8822697401047,746.3542133569717
FVPRLLX,94.27053439617157,213.68704056739807,546.7457830905914,915.5066723823547
FVLPRLX,96.17242109775543,192.65210139751434,465.6123903989792,747.0797288417816
NoSym,128.80257172584533,283.25631151199343,578.0140352249146,975.0638210296631
virtual best,47.110653448104856,121.84373157024383,218.98173720836638,402.62352163791655
